id_do_caso,num_de_empregados,salario_prevalecente_semanal,tem_experiencia_de_trabalho_S,requer_treinamento_de_trabalho_S,posicao_em_tempo_integral_S,continente_América do Norte,continente_América do Sul,continente_Europa,continente_Oceania,continente_África,continente_Ásia,educacao_do_empregado_Doutorado,educacao_do_empregado_Ensino Médio,educacao_do_empregado_Ensino Superior,educacao_do_empregado_Mestrado,regiao_de_emprego_Ilha,regiao_de_emprego_Meio-Oeste,regiao_de_emprego_Nordeste,regiao_de_emprego_Oeste,regiao_de_emprego_Sul,status_do_caso_Aprovado,anos_estabelecimento
EZYV8781,2306,2065.05,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,142
EZYV17792,2991,2134.3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,91
EZYV17657,120,844.61,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,33
EZYV10145,2163,1606.31,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,84
EZYV14324,4963,2159.22,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,25
EZYV10610,4585,101.25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,26
EZYV14985,3684,2628.94,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,16
EZYV19925,1568,573.17,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,47
EZYV24159,453,2407.73,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,21
EZYV5027,4296,144.62,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,15
EZYV7202,3425,579.71,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,24
EZYV7919,3436,982.86,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10
EZYV16380,4427,498.2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,10
EZYV9533,2883,2886.18,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,60
EZYV23796,4486,1695.33,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,25
EZYV14326,622,1040.8,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,40
EZYV22560,21021,15744.85,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,46
EZYV17974,60905,1823.56,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,16
EZYV7222,100771,3912.67,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,185
EZYV4376,1837,911.87,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,23
EZYV16952,2487,1177.47,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,18
EZYV9990,2231,2458.95,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,18
EZYV14613,2071,1947.04,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,23
EZYV20155,4389,2588.42,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,19
EZYV17461,70615,163.22,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,50
EZYV19289,528,1304.76,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,24
EZYV3483,2974,42.38,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,64
EZYV4300,91148,12750.72,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,25
EZYV17565,3103,1799.69,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,185
EZYV9262,6039,2870.99,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,10
EZYV3478,4027,10536.96,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,22
EZYV6563,1383,68930.59,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,19
EZYV4780,4344,2159.01,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,84
EZYV18636,3819,1799.41,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46
EZYV13864,2443,431.29,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,16
EZYV24406,2216,2468.66,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,76
EZYV12107,10641,604.64,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,30
EZYV25056,1990,989.75,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,38
EZYV9457,2496,100.83,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36
EZYV25243,517,2044.1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,30
EZYV22294,326,2305.14,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,23
EZYV16597,673,2142.08,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,34
EZYV24937,3176,435.38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25
EZYV18319,12669,3220.83,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,46
EZYV5008,433,2586.58,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,156
EZYV15197,857,2806.25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,18
EZYV1226,2405,8.96,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,37
EZYV1259,1447,555.83,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39
EZYV1764,4826,1383.61,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,29
EZYV23580,764,275.83,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,25
EZYV21583,1637,234.72,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,16
EZYV11612,1566,1602.94,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,14
EZYV139,1195,2260.82,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,109
EZYV13171,2274,1197.72,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,148
EZYV6337,1801,2667.58,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,157
EZYV5904,739,87.54,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,28
EZYV12401,3169,1779.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,55
EZYV19219,2536,3402.94,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,69
EZYV3692,293,197.7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,129
EZYV5608,4296,2665.05,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,15
EZYV2430,80778,468.25,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,25
EZYV1246,773,1686.45,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,27
EZYV12723,2938,11881.11,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,60
EZYV3791,3173,596.94,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,21
EZYV25239,1614,1849.41,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,15
EZYV17450,2646,2065.72,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,58
EZYV700,463,1420.47,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,116
EZYV16797,24,1828.15,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,32
EZYV203,3128,664.39,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,24
EZYV21026,2149,1523.31,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28
EZYV7067,412,1139.56,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,42
EZYV2832,2317,1439.16,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,29
EZYV10116,2836,3403.58,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,37
EZYV3668,18553,54.81,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,38
EZYV3218,5232,3090.35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,12
EZYV9309,1582,32181.83,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,28
EZYV23116,1526,4324.65,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,184
EZYV6190,3193,2424.65,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,11
EZYV13074,2090,1728.31,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,22
EZYV8947,4268,81947.06,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,61
EZYV20543,5033,1399.91,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,134
EZYV21218,2237,1318.11,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,24
EZYV2677,1979,1787.22,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38
EZYV9696,4266,3454.94,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,72
EZYV11985,2092,518.57,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,16
EZYV6566,117,1440.51,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,27
EZYV14438,1608,1709.68,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,25
EZYV12484,2342,1801.46,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,40
EZYV20890,3932,1320.36,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21
EZYV23056,1214,654.28,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,29
EZYV17758,2601,2454.77,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,24
EZYV24442,4719,987.66,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,46
EZYV13027,947,3151.58,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,77
EZYV7418,4325,125.95,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,26
EZYV20259,1493,1997.76,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,55
EZYV18730,716,30465.06,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,30
EZYV20180,2464,532.91,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,52
EZYV3343,475,601.06,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,9
EZYV5705,3191,2143.88,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,12
EZYV7091,928,2335.58,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,15
EZYV25150,4152,2815.56,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,26
EZYV501,1245,1928.12,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,11
EZYV17339,628,1225.82,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,26
EZYV20848,4675,1155.02,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,42
EZYV363,1837,21808.93,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,125
EZYV14097,3078,870.49,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,36
EZYV15185,588,2143.26,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,185
EZYV24205,754,2494.03,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,168
EZYV15450,854,1702.83,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,13
EZYV16848,121,2227.52,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,24
EZYV4164,651,2676.45,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,14
EZYV24634,2833,406.05,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,117
EZYV15901,839,490.4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,34
EZYV4929,2117,2784.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,9
EZYV24361,5550,1606.13,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,32
EZYV11543,101941,1685.2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,48
EZYV23454,1085,2661.26,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,25
EZYV3294,68241,3591.31,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,38
EZYV15046,1523,4432.91,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,18
EZYV17702,531,2175.34,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,14
EZYV11401,796,66176.3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,85
EZYV21349,3567,11364.59,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,127
EZYV23305,540,4495.85,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,160
EZYV7947,500,1180.98,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,38
EZYV5499,2022,1504.78,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,134
EZYV17247,2631,3802.07,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,41
EZYV9217,893,2445.98,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,44
EZYV4047,740,356.18,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,75
EZYV1966,2293,529.35,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,25
